"Name, Vornamen",Geburts­jahr,Partei,kandidiert im/für,ausgeschieden
"Dr. Bechberger, Harald",1952,AfD,Wahlkreis 200,
"Bechtel, Reiner",1964,Politik durch Bodenständigkeit und Bürgerbeteiligung,Wahlkreis 207,
"Beck, Armin",1968,GRÜNE,"Wahlkreis 249
    und 
    Land Bayern (Platz 56)",
"Beck, Benjamin",1979,du.,Land Berlin (Platz 8),
"Beck, Christel",1948,MLPD,Wahlkreis 263,
"Beck, Christian",1981,Volt,Land Hessen (Platz 6),
"Beck, Constanze Maria",1970,V-Partei³,"Wahlkreis 234
    und 
    Land Bayern (Platz 3)",
"Beck, Johann Felix",1964,DiB,Land Baden-Württemberg (Platz 14),
"Beck, Katharina Barbara Maria",1982,GRÜNE,"Wahlkreis 021
    und 
    Land Hamburg (Platz 1)",
"von der Beck, Sabine",1963,GRÜNE,Land Nordrhein-Westfalen (Platz 53),
"Beckamp, Roger Friedrich Nikolaus",1975,AfD,"Wahlkreis 098
    und 
    Land Nordrhein-Westfalen (Platz 8)",
"Becker, Almut",1970,FREIE WÄHLER,"Wahlkreis 021
    und 
    Land Hamburg (Platz 3)",
"Becker, Carsten Roland",1990,AfD,"Wahlkreis 297
    und 
    Land Saarland (Platz 2)",
"Becker, Christian Winfried",1967,dieBasis,Land Nordrhein-Westfalen (Platz 29),
"Dr. Becker, Holger",1964,SPD,"Wahlkreis 191
    und 
    Land Thüringen (Platz 5)",
"Becker, Klaus-Christian Norbert",1942,ÖDP,Land Hamburg (Platz 12),
"Becker, Lukas",1997,SPD,Land Hessen (Platz 39),
"Becker, Michael Peter",1968,Die PARTEI,Land Bayern (Platz 60),
"Becker, Simon Michael",1987,DKP,Wahlkreis 203,
"Becker, Ulrich Friedrich",1981,dieBasis,"Wahlkreis 274
    und 
    Land Baden-Württemberg (Platz 4)",
"Becker, Werner Klaus",1943,DKP,Land Brandenburg (Platz 13),
"Becker, Winfried",1966,Die PARTEI,Land Bayern (Platz 65),
"Beckmann, Bert",1958,MLPD,"Wahlkreis 012
    und 
    Land Mecklenburg-Vorpommern (Platz 2)",
"Beckmann, Carina",1992,Volt,"Wahlkreis 129
    und 
    Land Nordrhein-Westfalen (Platz 5)",
"Beckmann, Sina Maria",1981,GRÜNE,"Wahlkreis 026
    und 
    Land Niedersachsen (Platz 21)",
"Beckmann, Steffen",1978,AfD,"Wahlkreis 012
    und 
    Land Mecklenburg-Vorpommern (Platz 6)",
"Beckord, Heike",1963,SPD,Land Niedersachsen (Platz 50),
"Dr. Bedarff, Hildegard",1961,GRÜNE,Land Schleswig-Holstein (Platz 23),
"Bedürftig, Christoph",1981,dieBasis,"Wahlkreis 050
    und 
    Land Niedersachsen (Platz 2)",
"Beeck, Jens",1969,FDP,"Wahlkreis 031
    und 
    Land Niedersachsen (Platz 2)",
"in der Beek, Olaf Karl Wilhelm",1967,FDP,"Wahlkreis 140
    und 
    Land Nordrhein-Westfalen (Platz 17)",
"Beer, Andreas",1984,FAMILIE,Wahlkreis 062,
"Beermann, Maik",1981,CDU,"Wahlkreis 040
    und 
    Land Niedersachsen (Platz 25)",
"Beese, Karin",1981,GRÜNE,"Wahlkreis 155
    und 
    Land Sachsen (Platz 15)",
"Behling, Kay Ingo",1966,dieBasis,Land Brandenburg (Platz 15),
"Dr. Behr, Franz-Josef",1957,ÖDP,Wahlkreis 271,
"Behrendt, Volker",1967,ÖDP,Land Schleswig-Holstein (Platz 2),
"Behringer, Martin Werner",1971,FREIE WÄHLER,"Wahlkreis 227
    und 
    Land Bayern (Platz 9)",
"Dr. Behschad, Maik Fariborz",1969,CDU,Land Hessen (Platz 29),
"Bei der Wieden, Claudia",1965,GRÜNE,"Wahlkreis 049
    und 
    Land Niedersachsen (Platz 25)",
"von Beichmann, Marc",1981,Die PARTEI,Land Hamburg (Platz 7),
"Beier, Klaus",1966,NPD,Land Brandenburg (Platz 1),
"Dr. Beikert, Günther Jakob",1968,KlimalisteBW,Wahlkreis 273,
"Beil, Volker Eberhard",1969,dieBasis,Wahlkreis 295,
"Beilstein, Frank",1977,BÜNDNIS21,Land Hessen (Platz 9),
"Beinhorn, Ursula",1949,FREIE WÄHLER,Land Bremen (Platz 4),
"Beitz, Luca Alexandra",1997,Volt,"Wahlkreis 022
    und 
    Land Hamburg (Platz 1)",
"Belka, Günter Manfred",1959,MLPD,Land Nordrhein-Westfalen (Platz 8),
"Bell, Thomas",1966,DIE LINKE,Land Nordrhein-Westfalen (Platz 22),
"Bella, Istvan Jozsef",1945,ÖDP,Land Nordrhein-Westfalen (Platz 19),
"Bellmann, Veronika Maria",1960,CDU,"Wahlkreis 161
    und 
    Land Sachsen (Platz 10)",
"Beltz, Erika Hannelore",1944,DKP,Land Hessen (Platz 6),
"Belz, Bastian Alexander",1990,FDP,"Wahlkreis 170
    und 
    Land Hessen (Platz 14)",
"Belz, Kristian",1978,NPD,Land Mecklenburg-Vorpommern (Platz 5),
"Bender, Leon Dustin",2002,FDP,Wahlkreis 190,
"Bender, Philipp Frank",1988,LKR,Land Nordrhein-Westfalen (Platz 4),
"Bender-Schwering, Loraine Sunshine",1988,FREIE WÄHLER,"Wahlkreis 219
    und 
    Land Bayern (Platz 14)",
"Bendig, Susanne",1973,GRÜNE,Wahlkreis 210,
"Bendix-vor der Straße, Sophie",1994,PIRATEN,Land Sachsen-Anhalt (Platz 2),
"Benecke, Heike",1979,CDU,Land Niedersachsen (Platz 61),
"Benecke, Marco",1981,Die PARTEI,Land Hessen (Platz 19),
"Dr. Benecke, Mark Oliver",1970,Die PARTEI,"Wahlkreis 089
    und 
    Land Nordrhein-Westfalen (Platz 1)",
"Benedikt, Leonard",1997,ÖDP,Land Sachsen (Platz 7),
"Dr. Benjes, Friederike",1966,KlimalisteBW,Wahlkreis 274,
"Benner, Lukas",1996,GRÜNE,"Wahlkreis 088
    und 
    Land Nordrhein-Westfalen (Platz 26)",
"Bennühr, Thomas",1959,PIRATEN,Land Brandenburg (Platz 2),
"Benze, Christoph",1968,GRÜNE,"Wahlkreis 201
    und 
    Land Rheinland-Pfalz (Platz 10)",
"Beranek, Wolfgang",1953,DiB,Land Rheinland-Pfalz (Platz 4),
"Dr. Berberich, Thomas",1958,Die PARTEI,Land Hessen (Platz 3),
"Berends, Werner Georg",1970,dieBasis,Wahlkreis 027,
"Berezowski, Nick",1989,Die PARTEI,Land Hessen (Platz 35),
"Berg, Inka Nicole Sonja",1973,Volt,"Wahlkreis 148
    und 
    Land Nordrhein-Westfalen (Platz 29)",
"von Berg, Maria",1958,CDU,Land Niedersachsen (Platz 42),
"Berg, Ronald",1966,FREIE WÄHLER,Land Hessen (Platz 20),
"von Berg, Sonja",1983,SPD,Land Niedersachsen (Platz 44),
"Bergen, Ilja",1987,DIE LINKE,Wahlkreis 096,
"Berger, Gebhard",1961,Gebhard Berger,Wahlkreis 194,
"Berger, Klausjochen",1971,LKR,"Wahlkreis 125
    und 
    Land Nordrhein-Westfalen (Platz 5)",
"Berger, Maik",1973,SPD,"Wahlkreis 068
    und 
    Land Sachsen-Anhalt (Platz 5)",
"Berger, Michael Richard",1970,dieBasis,Land Baden-Württemberg (Platz 14),
"Berger, Niklas Thiemo",1983,Die PARTEI,Land Hamburg (Platz 3),
"Berger, Signe",1963,Tierschutzpartei,Land Brandenburg (Platz 9),
"Berger, Veronika",1966,ÖDP,Land Nordrhein-Westfalen (Platz 18),
"Berger-Kauffmann, Petra",1959,FREIE WÄHLER,Land Rheinland-Pfalz (Platz 9),
"van den Bergh, Moritz",1988,Die PARTEI,Wahlkreis 096,
"Berghahn, Jürgen",1960,SPD,"Wahlkreis 135
    und 
    Land Nordrhein-Westfalen (Platz 46)",
"Berghaus, Alexander",1998,Bündnis C,Land Bayern (Platz 3),
"Dr. Berghegger, André",1972,CDU,"Wahlkreis 038
    und 
    Land Niedersachsen (Platz 22)",
"Berghoff, Susanne Sabine Cornelia",1956,Tierschutzpartei,"Wahlkreis 029
    und 
    Land Niedersachsen (Platz 1)",
"Bergmann, Frank",1975,FREIE WÄHLER,Wahlkreis 181,
"Bergmann, Gerhard Rudolf",1948,AfD,Wahlkreis 181,
"Bergmann, Harald Peter Josef",1964,ÖDP,Land Brandenburg (Platz 12),
"Bergmann, Jochen Sebastian",1989,FREIE WÄHLER,"Wahlkreis 240
    und 
    Land Bayern (Platz 12)",
"Bergmann, Maximilian",1997,Die PARTEI,Wahlkreis 109,
"Bergmann, Theresa",1989,Die PARTEI,Wahlkreis 155,
"Bergt, Bengt Axel",1982,SPD,"Wahlkreis 008
    und 
    Land Schleswig-Holstein (Platz 9)",
"Berisha, Dafina",2000,SPD,Land Hamburg (Platz 9),
"Berlingen, Ralf Markus",1967,FDP,"Wahlkreis 202
    und 
    Land Rheinland-Pfalz (Platz 15)",
"Bernauer, Marcel",1993,Die Humanisten,Land Bremen (Platz 7),
"Berndt, Torben",1994,ÖDP,Land Niedersachsen (Platz 12),
"Berneiser, Gregor Philipp",1975,dieBasis,"Wahlkreis 096
    und 
    Land Nordrhein-Westfalen (Platz 7)",
"Bernhard, Marc Albert",1972,AfD,"Wahlkreis 271
    und 
    Land Baden-Württemberg (Platz 6)",
"Bernhard, Werner Paul",1943,Bündnis C,Land Baden-Württemberg (Platz 11),
"Bernhardt, Annik",1998,Die Humanisten,Land Sachsen-Anhalt (Platz 4),
"Bernhardt, Sebastian",1986,DIE LINKE,Wahlkreis 163,
"Bernshausen, Horst Joachim",1947,AfD,"Wahlkreis 225
    und 
    Land Bayern (Platz 24)",
"Bernstein, Melanie",1976,CDU,"Wahlkreis 006
    und 
    Land Schleswig-Holstein (Platz 6)",
"Bernstiel, Christoph",1984,CDU,"Wahlkreis 072
    und 
    Land Sachsen-Anhalt (Platz 4)",
"Dr. Dr. Bernzen, Christian Hinrich Gottfried",1962,SPD,Land Hamburg (Platz 8),
"Bertram, Ute",1961,CDU,"Wahlkreis 048
    und 
    Land Niedersachsen (Platz 14)",
"Beschorner, Thomas",1990,du.,Land Bayern (Platz 4),
"Beschow, Tobias",1980,Team Todenhöfer,Land Sachsen (Platz 3),
"Besecke, Lizza",1993,SPD,Land Bremen (Platz 5),
"Beşli, Anil",1995,DIE LINKE,"Wahlkreis 261
    und 
    Land Baden-Württemberg (Platz 16)",
"Besser, Cornelia",1996,FDP,"Wahlkreis 101
    und 
    Land Nordrhein-Westfalen (Platz 32)",
"Beßler, Christian Burkhard",1970,AfD,"Wahlkreis 242
    und 
    Land Bayern (Platz 17)",
"Best, Otfried Richard",1957,NPD,Land Saarland (Platz 1),
"Bethge, Sebastian",1991,FDP,Land Thüringen (Platz 11),
"Bethke, Cornelia",1966,SPD,Land Hessen (Platz 44),
"Betzold, Alexander",1980,ÖDP,Land Berlin (Platz 7),
"Beutel, Tatjana",1973,V-Partei³,Land Schleswig-Holstein (Platz 3),
"Beutin, Lorenz Gösta",1978,DIE LINKE,"Wahlkreis 005
    und 
    Land Schleswig-Holstein (Platz 2)",
"Beutler, Benno",1967,Team Todenhöfer,Land Thüringen (Platz 6),
"Beye, Philipp Helmut",1988,Die Humanisten,Land Schleswig-Holstein (Platz 3),
"Beyer, Francesca",1994,Volt,Land Rheinland-Pfalz (Platz 5),
"Beyer, Marius Pascal",1999,Die PARTEI,Land Bayern (Platz 35),
"Beyer, Peter",1970,CDU,"Wahlkreis 105
    und 
    Land Nordrhein-Westfalen (Platz 28)",
"Beyerlein, Andrea Ilsabe Edith",1958,Gesundheitsforschung,Land Bayern (Platz 2),
"Beyermann, Tim Christopher Emanuel",1995,DKP,Land Hessen (Platz 9),
"Beyer-Peters, Detlev",1957,DKP,Wahlkreis 122,
"Beyrer, Christoph Martin",1964,dieBasis,Land Bayern (Platz 27),
"Bezold, Nina",1989,CSU,Land Bayern (Platz 54),
"Prof. Bhakdi, Sucharit Punyaratabandhu",1946,dieBasis,Land Nordrhein-Westfalen (Platz 3),
"Biadacz, Marc Josef",1979,CDU,Wahlkreis 260,
"Bialczak, Sylwester Janusz",1981,dieBasis,Land Niedersachsen (Platz 16),
"Bibiella, Danny",1975,BibiellaBTW,Wahlkreis 066,
"Biedermann, Sarah Katharina",1997,FREIE WÄHLER,"Wahlkreis 074
    und 
    Land Sachsen-Anhalt (Platz 7)",
"Biedermann, Wilfried",1951,AfD,Wahlkreis 218,
"Biege, Thomas August",1955,dieBasis,Land Niedersachsen (Platz 7),
"Bieling, Marko",1973,Marko Bieling,Wahlkreis 196,
"Bien, Sven-Jarno",1973,dieBasis,"Wahlkreis 192
    und 
    Land Thüringen (Platz 3)",
"Bienstein, Andreas",1968,FREIE WÄHLER,Land Niedersachsen (Platz 23),
"Bier, Christoph",1987,FREIE WÄHLER,Land Rheinland-Pfalz (Platz 25),
"Bier, Jörg",1972,FREIE WÄHLER,Land Berlin (Platz 5),
"Bier, Uwe",1970,FREIE WÄHLER,Land Rheinland-Pfalz (Platz 11),
"Bierent, Leonie",1995,CDU,Land Hessen (Platz 39),
"Bierhalter, Lorenz",2001,Die PARTEI,Land Baden-Württemberg (Platz 22),
"Biesel, Michelle",1995,Die PARTEI,Land Saarland (Platz 3),
"Biesterfeld, Jörg",1964,SPD,Land Nordrhein-Westfalen (Platz 70),
"Bigus, Joachim Fritz Anton",1958,DKP,"Wahlkreis 039
    und 
    Land Niedersachsen (Platz 12)",
"Biletzke, Uwe",1965,DIE LINKE,Wahlkreis 121,
"Bilge, Leyla",1981,AfD,Land Brandenburg (Platz 6),
"Bilger, Steffen Rudi",1979,CDU,"Wahlkreis 265
    und 
    Land Baden-Württemberg (Platz 4)",
"Bilić, Florian",1994,CDU,"Wahlkreis 210
    und 
    Land Rheinland-Pfalz (Platz 15)",
"Billing, Stefan",1962,dieBasis,"Wahlkreis 185
    und 
    Land Hessen (Platz 13)",
"Bilo, Horst",1957,Bilo - für Mülheim nach Berlin,Wahlkreis 118,
"Bilski, Bodo",1961,Team Todenhöfer,Land Thüringen (Platz 4),
"Binde, Ralf Ronald Eberhard",1959,LKR,Land Bayern (Platz 4),
"Binder, Robert",1986,DIE LINKE,Wahlkreis 276,
"Binder, Simone",1969,BP,Wahlkreis 213,
"Birke, Helmut Gerhard",1954,AfD,Wahlkreis 129,
"Birkle, Stephanie",1980,Die PARTEI,Wahlkreis 185,
"Birkwald, Matthias Walter",1961,DIE LINKE,"Wahlkreis 094
    und 
    Land Nordrhein-Westfalen (Platz 2)",
"Birmann, Rüdiger",1971,DIE LINKE,Wahlkreis 089,
"Bischof, Anna-Maria",1989,CDU,"Wahlkreis 170
    und 
    Land Hessen (Platz 14)",
"Bischof, Simone",1975,Tierschutzpartei,Wahlkreis 292,
"Biteke, Belange",1996,Team Todenhöfer,Land Mecklenburg-Vorpommern (Platz 1),
"Dr. Bittel, Günther",1953,MLPD,"Wahlkreis 115
    und 
    Land Nordrhein-Westfalen (Platz 18)",
"Dr. Bitter, Georg Hermann-Josef",1957,FREIE WÄHLER,Land Baden-Württemberg (Platz 11),
"Bitter, Ingrid",1938,Tierschutzpartei,Land Thüringen (Platz 3),
"Bittner, Anika",1995,CDU,Land Niedersachsen (Platz 39),
"Blach, Björn Wilhelm Rudolf",1976,DKP,Land Baden-Württemberg (Platz 1),
"Blankenburg, Daniela",1976,ÖDP,Wahlkreis 230,
"Blankenburg, Jakob",1997,SPD,"Wahlkreis 037
    und 
    Land Niedersachsen (Platz 15)",
"Blasel, Jakob",2000,GRÜNE,"Wahlkreis 004
    und 
    Land Schleswig-Holstein (Platz 8)",
"Blasi, Martin Engelbert",1967,FREIE WÄHLER,"Wahlkreis 218
    und 
    Land Bayern (Platz 31)",
"Bläsing, Daniel",1985,AfD,Wahlkreis 150,
"Bläsing, Robert",1982,FDP,"Wahlkreis 021
    und 
    Land Hamburg (Platz 5)",
"Blech, Daniel",2002,CSU,Land Bayern (Platz 41),
"Bleck, Andreas",1988,AfD,"Wahlkreis 197
    und 
    Land Rheinland-Pfalz (Platz 3)",
"Bleile, Thomas",1965,GRÜNE,"Wahlkreis 286
    und 
    Land Baden-Württemberg (Platz 27)",
"Bleines, Michael",1957,DIE LINKE,Land Saarland (Platz 4),
"Blenk, Manuel",1993,CSU,Land Bayern (Platz 51),
"Blessing, Engelbert Anton",1985,DIE LINKE,"Wahlkreis 256
    und 
    Land Bayern (Platz 26)",
"Bletzer, Karsten",1970,AfD,Land Hessen (Platz 13),
"Blickle, Bernhard Hubert",1958,Internationalistisches Bündnis,Wahlkreis 157,
"Blienert, Burkhard Karl Erich",1966,SPD,"Wahlkreis 137
    und 
    Land Nordrhein-Westfalen (Platz 52)",
"Blietz, Kay-Uwe",1966,dieBasis,"Wahlkreis 065
    und 
    Land Brandenburg (Platz 2)",
"Blitz, Andrea",1965,DiB,Land Rheinland-Pfalz (Platz 3),
"Bloch, Enrico",1971,SPD,"Wahlkreis 085
    und 
    Land Berlin (Platz 9)",
"Bloch, Joachim Ralf Josef",1963,AfD,Wahlkreis 285,
"Blum, Jacqueline",1988,Klimaliste,Wahlkreis 101,
"Blum, James Robert",1970,FDP,"Wahlkreis 018
    und 
    Land Hamburg (Platz 7)",
"Blum, Nele",1995,Volt,Land Schleswig-Holstein (Platz 3),
"Blume, Fabian",1978,du.,Land Berlin (Platz 6),
"Blümke, Markus",1972,Volt,Wahlkreis 100,
"Blümlein, Thorsten",1971,AfD,Wahlkreis 184,
"Blümmel, Bernd Friedrich",1963,DKP,Land Hessen (Platz 1),
"Boas, Claudia",1967,Die PARTEI,"Wahlkreis 204
    und 
    Land Rheinland-Pfalz (Platz 9)",
"Böcher, Jan Moritz",1996,SPD,Land Hessen (Platz 31),
"Bochmann, Martin",1974,Die PARTEI,Land Sachsen-Anhalt (Platz 12),
"Bochmann, René",1969,AfD,"Wahlkreis 151
    und 
    Land Sachsen (Platz 15)",
"Bockelmann, Catharina Brigitte",1987,SPD,Land Brandenburg (Platz 19),
"Böcklen, Julia Sophie",1994,Volt,"Wahlkreis 258
    und 
    Land Baden-Württemberg (Platz 7)",
"Bocklet, Marcus",1964,GRÜNE,"Wahlkreis 180
    und 
    Land Hessen (Platz 10)",
"Bode, Carsten Ulrich Rudolf",1962,FDP,"Wahlkreis 215
    und 
    Land Bayern (Platz 16)",
"Bode, Manuela",1971,V-Partei³,Land Bremen (Platz 2),
"Bode, Rolf",1972,V-Partei³,"Wahlkreis 055
    und 
    Land Bremen (Platz 1)",
"Bodenstein, Martina",1958,ÖDP,Land Niedersachsen (Platz 6),
"Bodin, Leif Erik",1996,CDU,Land Schleswig-Holstein (Platz 17),
"Bodtke, Ingo",1965,FDP,"Wahlkreis 074
    und 
    Land Sachsen-Anhalt (Platz 2)",
"Boegelein, Tobias",1981,DIE LINKE,"Wahlkreis 213
    und 
    Land Bayern (Platz 22)",
"Boehle, Matthias",1993,Die PARTEI,Land Sachsen (Platz 15),
"Boehringer, Peter Christian Pascal",1969,AfD,"Wahlkreis 232
    und 
    Land Bayern (Platz 1)",
"Boenke, Anja",1979,GRÜNE,Land Nordrhein-Westfalen (Platz 68),
"Bofinger, Friedrich Wilhelm",1956,Team Todenhöfer,Land Bayern (Platz 9),
"Bogenreuther, Sylvia",1966,FREIE WÄHLER,"Wahlkreis 241
    und 
    Land Bayern (Platz 29)",
"Boginski, Friedhelm Günter",1955,FDP,"Wahlkreis 057
    und 
    Land Brandenburg (Platz 2)",
"Bogisch, Gerd Ulrich",1969,ÖDP,Wahlkreis 266,
"Bohl, Daniel",1972,FDP,"Wahlkreis 013
    und 
    Land Mecklenburg-Vorpommern (Platz 4)",
"Böhlen, Mike",1967,Gartenpartei,Land Sachsen-Anhalt (Platz 6),
"Böhm, Markus",1968,LKR,"Wahlkreis 207
    und 
    Land Rheinland-Pfalz (Platz 7)",
"Böhm, Martin Erich Heinz",1970,dieBasis,Land Baden-Württemberg (Platz 28),
"Böhm, Nils",1997,Die PARTEI,Land Hessen (Platz 10),
"Böhme, Andreas",1960,FREIE WÄHLER,"Wahlkreis 190
    und 
    Land Thüringen (Platz 1)",
"Böhmer, Nina",1992,Die PARTEI,Land Berlin (Platz 7),
"Böhm-Fritz, Saskia Ursula Lydia",1984,Tierschutzpartei,Land Hessen (Platz 4),
"Bohn, Matthias",1967,BÜNDNIS21,Land Baden-Württemberg (Platz 7),
"Dr. Dr. Bohnenkamp, Björn",1980,GRÜNE,Land Baden-Württemberg (Platz 47),
"Bohn-Klein, Helmut Rudi",1952,MLPD,Land Saarland (Platz 4),
"Böhnlein, Robert Rainer",1970,BP,Land Bayern (Platz 8),
"Boiger, Christian",1993,Die PARTEI,"Wahlkreis 229
    und 
    Land Bayern (Platz 54)",
"Bok, Hans Georg Karl-Heinz",1951,ÖDP,Land Baden-Württemberg (Platz 17),
"Bokah Tamejani, Parwaneh Tayabeh",1958,DIE LINKE,Wahlkreis 042,
"Bokler, Alicia Maria",1993,SPD,"Wahlkreis 176
    und 
    Land Hessen (Platz 14)",
"Boljahn, Hans Horst",1953,Volt,Wahlkreis 214,
"Bollenbach, Nils",2000,GRÜNE,"Wahlkreis 008
    und 
    Land Schleswig-Holstein (Platz 14)",
"Boller-Winkel, Mechthild",1955,DKP,Land Nordrhein-Westfalen (Platz 11),
"Bollien, Sebastian",1985,ÖDP,"Wahlkreis 018
    und 
    Land Hamburg (Platz 5)",
"Bollmann, Gereon",1953,AfD,"Wahlkreis 004
    und 
    Land Schleswig-Holstein (Platz 2)",
"Bolm, Jens Manuel",1982,Die PARTEI,"Wahlkreis 041
    und 
    Land Niedersachsen (Platz 34)",
"Bölzle, Paul-Jonas",1994,Die PARTEI,Land Baden-Württemberg (Platz 26),
"Dr. Bonaventura, Jeannine",1974,FDP,Land Saarland (Platz 7),
"Bonertz, Martina",1972,ÖDP,Wahlkreis 219,
"Bonyad, Susan",1991,Team Todenhöfer,Land Nordrhein-Westfalen (Platz 13),
"Borau, Daniel",1992,Die PARTEI,Land Rheinland-Pfalz (Platz 16),
"Borchardt, Simone",1967,CDU,"Wahlkreis 013
    und 
    Land Mecklenburg-Vorpommern (Platz 3)",
"Borchert, Nils Jochen",1965,DKP,Land Brandenburg (Platz 6),
"Dr. Börger, Alexander Konrad Heinz Ulrich",1976,CDU,Land Niedersachsen (Platz 44),
"Borger, Sebastian",1988,CDU,Land Rheinland-Pfalz (Platz 27),
"Borhani, Behzad",1984,GRÜNE,"Wahlkreis 173
    und 
    Land Hessen (Platz 12)",
"Börm, Manfred",1950,NPD,Land Niedersachsen (Platz 3),
"Bormann, Holger",1981,CDU,"Wahlkreis 049
    und 
    Land Niedersachsen (Platz 20)",
"Bormann, Lena Maria Christina",1983,Die PARTEI,"Wahlkreis 140
    und 
    Land Nordrhein-Westfalen (Platz 23)",
"van den Born, Anton Marcus Hendrikus",1962,FDP,"Wahlkreis 040
    und 
    Land Niedersachsen (Platz 19)",
"Born, Helmut",1952,DIE LINKE,Wahlkreis 106,
"Börner, Hans-Joachim",1952,ÖDP,Land Brandenburg (Platz 14),
"Bornmann, Annelene",1991,CDU,Land Niedersachsen (Platz 32),
"Borodan, Pawel",1974,PIRATEN,Land Hessen (Platz 3),
"Börold, Axel",1984,Die Humanisten,Land Bremen (Platz 2),
"Boroviczény, Georg",1947,PIRATEN,"Wahlkreis 079
    und 
    Land Berlin (Platz 7)",
"Borrmann, Richard",1982,ÖDP,"Wahlkreis 075
    und 
    Land Berlin (Platz 5)",
"Börsch, Sonja Maria",1963,Die PARTEI,Land Nordrhein-Westfalen (Platz 21),
"Bosse, Peter-Joachim",1948,DKP,Land Hessen (Platz 13),
"Bosse, Rainer",1961,SSW,Land Schleswig-Holstein (Platz 4),
"Bossler, Ulrich",1963,FREIE WÄHLER,"Wahlkreis 292
    und 
    Land Baden-Württemberg (Platz 3)",
"Both, Hans-Theo Maria",1960,dieBasis,"Wahlkreis 298
    und 
    Land Saarland (Platz 4)",
"Böttcher, Alisa Janine",1969,Team Todenhöfer,Land Berlin (Platz 15),
"Böttcher, Dieter",1952,MLPD,"Wahlkreis 264
    und 
    Land Baden-Württemberg (Platz 9)",
"Böttcher, Jörn",1963,dieBasis,Wahlkreis 021,
"Böttger, Christoph",1985,Die PARTEI,Land Nordrhein-Westfalen (Platz 69),
"von Bötticher, Lotta Maria",1984,Volt,Land Bremen (Platz 3),
"von dem Bottlenberg, Annette",1967,GRÜNE,Land Nordrhein-Westfalen (Platz 47),
"Bourbon, Viviane Marie Brigitte",1991,Volt,Land Bayern (Platz 17),
"Boussata, Fatima Zahra",1999,Volt,Land Baden-Württemberg (Platz 11),
"Böving, Adonis",1976,ADONIS,Wahlkreis 087,
"Brachmann, Daniel",1986,Bündnis C,Land Hessen (Platz 19),
"Bradl, Melanie Eva",1973,LKR,Land Bayern (Platz 15),
"Dr. Braedt, Michael",1951,DIE LINKE,Wahlkreis 043,
"Braga, Torben",1991,AfD,"Wahlkreis 191
    und 
    Land Thüringen (Platz 4)",
"Brähmig, Klaus",1957,Brähmig,Wahlkreis 158,
"Braitmaier, David Johannes",2003,Die PARTEI,Wahlkreis 272,
"Brand, Jakob",1996,Die PARTEI,Wahlkreis 072,
"Brand, Michael Karl",1973,CDU,"Wahlkreis 174
    und 
    Land Hessen (Platz 4)",
"Dr. Brandenburg, Jens",1986,FDP,"Wahlkreis 277
    und 
    Land Baden-Württemberg (Platz 8)",
"Brandenburg, Mario",1983,FDP,Land Rheinland-Pfalz (Platz 3),
"Brandenburger, Genoveva Susanne Brigitte",1959,ÖDP,Land Rheinland-Pfalz (Platz 5),
"Brandes, Dirk",1974,AfD,"Wahlkreis 047
    und 
    Land Niedersachsen (Platz 6)",
"Brandes, Niklas Willem",1991,Die PARTEI,Land Niedersachsen (Platz 31),
"Dr. Brandl, Reinhard",1977,CSU,Wahlkreis 216,
"Brandner, Peter Edgar",1968,CSU,Land Bayern (Platz 65),
"Brandner, Stephan Günther",1966,AfD,"Wahlkreis 194
    und 
    Land Thüringen (Platz 1)",
"Brandt, Doris",1958,SPD,Land Niedersachsen (Platz 40),
"Brandt, Karin Sigrid",1955,FREIE WÄHLER,Land Sachsen-Anhalt (Platz 11),
"Brandt, Michael",1959,Die Humanisten,Land Hamburg (Platz 1),
"Brandt, Michel",1990,DIE LINKE,"Wahlkreis 271
    und 
    Land Baden-Württemberg (Platz 4)",
"Brandt, Stephan",1943,MLPD,Land Hamburg (Platz 10),
"Dr. Brantner, Franziska Katharina",1979,GRÜNE,"Wahlkreis 274
    und 
    Land Baden-Württemberg (Platz 1)",
"Brase, Laura Aurelia Susanne",1993,ÖDP,Land Nordrhein-Westfalen (Platz 10),
"Brase, Rosemarie",1948,Tierschutzpartei,Land Bremen (Platz 3),
"Brauer, Kerstin Angelica Annemarie",1972,CDU,Land Nordrhein-Westfalen (Platz 70),
"Braukmann, Martin",1960,AfD,Land Sachsen (Platz 12),
"Braun Lambur, Jana",1987,FDP,"Wahlkreis 209
    und 
    Land Rheinland-Pfalz (Platz 13)",
"Braun, Andreas",1963,Die PARTEI,Land Hessen (Platz 28),
"Braun, Harald",1954,MLPD,Land Bremen (Platz 5),
"Dr. Braun, Helge Reinhold",1972,CDU,"Wahlkreis 173
    und 
    Land Hessen (Platz 1)",
"Braun, Jürgen Friedrich",1961,AfD,"Wahlkreis 264
    und 
    Land Baden-Württemberg (Platz 10)",
"Braun, Jürgen Karlheinz",1955,FREIE WÄHLER,Wahlkreis 268,
"Braun, Marius",1986,ÖDP,"Wahlkreis 189
    und 
    Land Thüringen (Platz 2)",
"Braun, Michaela",1980,V-Partei³,Land Thüringen (Platz 1),
"Braun, Thomas",1956,AfD,Wahlkreis 085,
"Braune, Markus",1990,Die PARTEI,Land Baden-Württemberg (Platz 18),
"Braungart, Anatole Tobias",1962,MLPD,"Wahlkreis 191
    und 
    Land Thüringen (Platz 13)",
